Episodio,Epoch,Recompensa,Epsilon
1,1,4,0.995
2,1,-6,0.990025
3,1,12,0.985074875
4,1,18,0.9801495006250001
5,1,-6,0.9752487531218751
6,1,24,0.9703725093562657
7,1,0,0.9655206468094844
8,1,0,0.960693043575437
9,1,12,0.9558895783575597
10,1,-10,0.9511101304657719
11,1,-4,0.946354579813443
12,1,-4,0.9416228069143757
13,1,-8,0.9369146928798039
14,1,-10,0.9322301194154049
15,1,-4,0.9275689688183278
16,1,-28,0.9229311239742362
17,1,2,0.918316468354365
18,1,0,0.9137248860125932
19,1,-6,0.9091562615825302
20,1,-12,0.9046104802746175
21,2,0,0.9000874278732445
22,2,10,0.8955869907338783
23,2,-6,0.8911090557802088
24,2,38,0.8866535105013078
25,2,20,0.8822202429488013
26,2,36,0.8778091417340573
27,2,24,0.8734200960253871
28,2,-2,0.8690529955452602
29,2,-10,0.8647077305675338
30,2,14,0.8603841919146962
31,2,6,0.8560822709551227
32,2,14,0.851801859600347
33,2,22,0.8475428503023453
34,2,110,0.8433051360508336
35,2,0,0.8390886103705794
36,2,0,0.8348931673187264
37,2,26,0.8307187014821328
38,2,10,0.8265651079747222
39,2,-6,0.8224322824348486
