Epoch,Victorias,Empates,Derrotas,WinRate(%)
1.0,116.0,28.0,56.0,57.99999999999999
2.0,116.0,29.0,55.0,57.99999999999999
3.0,130.0,14.0,56.0,65.0
4.0,133.0,26.0,41.0,66.5
5.0,135.0,24.0,41.0,67.5
6.0,135.0,25.0,40.0,67.5
7.0,138.0,18.0,44.0,69.0
8.0,157.0,12.0,31.0,78.5
9.0,153.0,19.0,28.0,76.5
10.0,149.0,16.0,35.0,74.5
11.0,137.0,27.0,36.0,68.5
12.0,157.0,16.0,27.0,78.5
13.0,162.0,17.0,21.0,81.0
14.0,159.0,13.0,28.0,79.5
15.0,153.0,15.0,32.0,76.5
16.0,161.0,17.0,22.0,80.5
17.0,153.0,16.0,31.0,76.5
18.0,156.0,14.0,30.0,78.0
19.0,160.0,17.0,23.0,80.0
20.0,157.0,17.0,26.0,78.5
21.0,162.0,15.0,23.0,81.0
22.0,160.0,19.0,21.0,80.0
23.0,154.0,19.0,27.0,77.0
24.0,159.0,15.0,26.0,79.5
25.0,150.0,21.0,29.0,75.0
26.0,165.0,14.0,21.0,82.5
27.0,166.0,21.0,13.0,83.0
28.0,159.0,21.0,20.0,79.5
29.0,161.0,22.0,17.0,80.5
30.0,158.0,18.0,24.0,79.0
31.0,160.0,21.0,19.0,80.0
32.0,154.0,21.0,25.0,77.0
33.0,169.0,16.0,15.0,84.5
34.0,163.0,15.0,22.0,81.5
35.0,154.0,17.0,29.0,77.0
36.0,173.0,12.0,15.0,86.5
37.0,168.0,14.0,18.0,84.0
38.0,170.0,9.0,21.0,85.0
39.0,160.0,15.0,25.0,80.0
40.0,166.0,20.0,14.0,83.0
41.0,168.0,12.0,20.0,84.0
42.0,172.0,15.0,13.0,86.0
43.0,165.0,13.0,22.0,82.5
44.0,168.0,12.0,20.0,84.0
45.0,167.0,13.0,20.0,83.5
46.0,154.0,17.0,29.0,77.0
47.0,166.0,14.0,20.0,83.0
48.0,163.0,14.0,23.0,81.5
49.0,164.0,14.0,22.0,82.0
50.0,164.0,19.0,17.0,82.0
