Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,2.9900132579999763,44.2,636.0,0.0
1.0,2.0,1.2274593989999403,6.6,639.5,0.0
1.0,3.0,2.0739873800000623,2.9,639.51953125,0.0
1.0,4.0,1.3632964870000706,1.8,639.53515625,0.0
1.0,5.0,1.8894147979999616,2.1,639.5625,0.0
1.0,6.0,1.260297881999918,2.0,639.5625,0.0
1.0,7.0,1.0483493440000302,6.2,639.5703125,0.0
1.0,8.0,1.7758082709999599,53.3,639.578125,0.0
1.0,9.0,1.15920603699999,2.2,639.58203125,0.0
1.0,10.0,1.8742653429999336,2.7,639.60546875,0.0
1.0,11.0,1.8776466310000615,2.1,639.66796875,0.0
1.0,12.0,1.6156911049999962,1.2,639.71484375,0.0
1.0,13.0,1.5831172200000765,4.4,639.73828125,0.0
1.0,14.0,1.1815365319999955,1.7,639.7421875,0.0
1.0,15.0,1.2068139350000138,24.2,639.75,0.0
1.0,16.0,2.1488024100000302,30.9,639.75390625,0.0
1.0,17.0,0.8029609930000561,3.1,639.75390625,0.0
1.0,18.0,2.5914118370000097,1.7,639.765625,0.0
1.0,19.0,1.5555631390000144,4.5,639.78125,0.0
1.0,20.0,1.0496383710000146,3.8,639.82421875,0.0
1.0,21.0,1.1864159780000136,3.0,639.86328125,0.0
1.0,22.0,1.9269367019999208,5.2,639.88671875,0.0
1.0,23.0,1.7402927749999435,51.0,639.88671875,0.0
1.0,24.0,1.2709409950000463,2.0,639.88671875,0.0
1.0,25.0,1.5321821899999577,2.3,639.88671875,0.0
1.0,26.0,1.1678722939999489,2.6,639.88671875,0.0
1.0,27.0,1.8038168250000126,4.2,639.890625,0.0
1.0,28.0,1.9298001280000108,1.8,639.89453125,0.0
1.0,29.0,1.048834634000059,3.3,639.91015625,0.0
1.0,30.0,1.7677358569999342,22.8,639.9453125,0.0
1.0,31.0,1.3511249519999637,41.4,639.97265625,0.0
1.0,32.0,1.2418413589999773,2.0,639.97265625,0.0
1.0,33.0,2.059702791999939,2.9,639.97265625,0.0
1.0,34.0,1.3406049019999955,2.3,639.97265625,0.0
1.0,35.0,1.2484850020000522,1.6,639.97265625,0.0
1.0,36.0,1.496094941000024,3.4,639.97265625,0.0
1.0,37.0,1.5990032439999595,2.2,639.97265625,0.0
1.0,38.0,1.7469867329999715,40.9,639.9765625,0.0
1.0,39.0,1.8881242630000088,27.1,639.9921875,0.0
1.0,40.0,1.139656919999993,3.1,640.01171875,0.0
1.0,41.0,5.531996960000015,2.4,640.04296875,0.0
1.0,42.0,1.4183784429999378,1.8,640.05078125,0.0
1.0,43.0,2.03164737599991,35.6,640.05078125,0.0
1.0,44.0,1.5195276640000657,17.8,640.05078125,0.0
1.0,45.0,2.2472152190000543,2.0,640.05078125,0.0
1.0,46.0,1.214176774000066,3.3,640.05078125,0.0
1.0,47.0,1.526189119000037,1.6,640.05078125,0.0
1.0,48.0,2.761833341000056,2.0,640.05078125,0.0
1.0,49.0,1.3916980909999666,13.9,640.05078125,0.0
1.0,50.0,1.768501211000057,44.2,640.0546875,0.0
1.0,51.0,2.2189287919999288,2.7,640.07421875,0.0
1.0,52.0,2.3917299830000047,4.8,640.09765625,0.0
1.0,53.0,1.0881847019999213,1.8,640.09765625,0.0
1.0,54.0,1.312036760000069,3.8,640.09765625,0.0
