Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB)
1.0,1.0,0.005391651000536513,100.0,104.1953125
1.0,2.0,0.003585909999856085,0.0,104.1953125
1.0,3.0,0.003635068999756186,100.0,104.1953125
1.0,4.0,0.005131585000526684,100.0,104.1953125
1.0,5.0,0.005760067999290186,100.0,104.1953125
1.0,6.0,0.003694032000566949,100.0,104.1953125
1.0,7.0,0.006518746000438114,100.0,104.1953125
1.0,8.0,0.004970228999809478,100.0,104.1953125
1.0,9.0,0.0035374589997445582,100.0,104.3203125
1.0,10.0,0.0032377829993492924,100.0,104.3203125
1.0,11.0,0.0036400599992703064,100.0,104.3203125
1.0,12.0,0.0032159140000658226,100.0,104.3203125
1.0,13.0,0.004613997999513231,100.0,104.3203125
1.0,14.0,0.004223500000080094,100.0,104.3203125
1.0,15.0,0.0034157939999204245,0.0,104.3203125
1.0,16.0,0.005342208999536524,100.0,104.3203125
1.0,17.0,0.003187450000041281,100.0,104.3203125
1.0,18.0,0.00566558399987116,100.0,104.3203125
1.0,19.0,0.003555974000846618,100.0,104.3203125
1.0,20.0,0.003759473999707552,0.0,104.3203125
1.0,21.0,0.004098383999917132,100.0,104.3203125
1.0,22.0,0.005401467000410776,50.0,104.3203125
1.0,23.0,0.004753082999741309,100.0,104.4453125
1.0,24.0,0.006335651000881626,100.0,104.4453125
1.0,25.0,0.005646319999868865,100.0,104.4453125
1.0,26.0,0.0033464269999967655,100.0,104.4453125
1.0,27.0,0.0032699240000511054,100.0,104.4453125
1.0,28.0,0.004014132000520476,100.0,104.5703125
1.0,29.0,0.004369553000287851,100.0,104.5703125
1.0,30.0,0.003353779000462964,100.0,104.5703125
1.0,31.0,0.004087729000275431,100.0,104.5703125
1.0,32.0,0.0032175180003832793,0.0,104.5703125
1.0,33.0,0.0052797340003962745,100.0,104.6953125
1.0,34.0,0.003381366999747115,100.0,104.6953125
1.0,35.0,0.005018283000026713,100.0,104.6953125
1.0,36.0,0.0036264430000301218,100.0,104.6953125
1.0,37.0,0.005062852000264684,100.0,104.6953125
1.0,38.0,0.007566130999293819,100.0,104.6953125
1.0,39.0,0.006535730999530642,100.0,104.6953125
1.0,40.0,0.005177994000405306,0.0,104.6953125
1.0,41.0,0.004552278000119259,100.0,104.6953125
1.0,42.0,0.004798149999260204,100.0,104.8203125
1.0,43.0,0.004887005999989924,100.0,104.8203125
1.0,44.0,0.003827325999736786,0.0,104.8203125
1.0,45.0,0.003781733000323584,100.0,104.8203125
1.0,46.0,0.004004170999905909,100.0,104.8203125
1.0,47.0,0.005453884999951697,100.0,104.8203125
1.0,48.0,0.008668482999382832,100.0,104.8203125
1.0,49.0,0.007757970000056957,100.0,104.8203125
1.0,50.0,0.0049334400000589085,100.0,104.8203125
1.0,51.0,0.005184116999771504,100.0,104.8203125
1.0,52.0,0.007438320999426651,100.0,104.8203125
1.0,53.0,0.005181210000046121,100.0,104.8203125
1.0,54.0,0.006099871000515122,100.0,104.8203125
1.0,55.0,0.005122268000377517,100.0,104.8203125
1.0,56.0,0.0037554260006800178,100.0,104.8203125
1.0,57.0,0.005821316999572446,100.0,104.8203125
1.0,58.0,0.00320950500008621,0.0,104.8203125
1.0,59.0,0.005908695000471198,100.0,104.8203125
1.0,60.0,0.003811204000157886,100.0,104.8203125
1.0,61.0,0.004604432000633096,100.0,104.8203125
1.0,62.0,0.0033225580000362243,0.0,104.8203125
1.0,63.0,0.00388176599972212,100.0,104.8203125
1.0,64.0,0.005628035999507119,100.0,104.8203125
1.0,65.0,0.0052846580001642,100.0,104.8203125
1.0,66.0,0.0032935620001808275,0.0,104.8203125
1.0,67.0,0.004719241000202601,100.0,104.8203125
1.0,68.0,0.0038447859997177147,100.0,104.8203125
1.0,69.0,0.0036268880003262893,100.0,104.9453125
1.0,70.0,0.0038288959995043115,100.0,104.9453125
1.0,71.0,0.0062113390004014946,100.0,104.9453125
1.0,72.0,0.006890485999974771,100.0,104.9453125
1.0,73.0,0.0038615720004600007,100.0,104.9453125
1.0,74.0,0.005147249999936321,0.0,104.9453125
1.0,75.0,0.003616851000515453,100.0,104.9453125
1.0,76.0,0.006213469000613259,100.0,104.9453125
1.0,77.0,0.005000059999474615,100.0,104.9453125
1.0,78.0,0.005156056000487297,100.0,104.9453125
1.0,79.0,0.004821818999516836,0.0,104.9453125
1.0,80.0,0.00513656200018886,100.0,104.9453125
1.0,81.0,0.0036178880000079516,100.0,104.9453125
1.0,82.0,0.006058355999812193,100.0,104.9453125
1.0,83.0,0.003931536999516538,100.0,104.9453125
1.0,84.0,0.0036184299997330527,0.0,104.9453125
1.0,85.0,0.00384281800052122,100.0,104.9453125
1.0,86.0,0.0035509700001057354,100.0,104.9453125
1.0,87.0,0.003652627000519715,0.0,104.9453125
1.0,88.0,0.004840902000069036,100.0,104.9453125
1.0,89.0,0.006330702999548521,100.0,104.9453125
1.0,90.0,0.0035719039997275104,100.0,104.9453125
1.0,91.0,0.00370627299980697,100.0,104.9453125
1.0,92.0,0.004779256999427162,100.0,104.9453125
1.0,93.0,0.005023366000386886,100.0,104.9453125
1.0,94.0,0.00892364399987855,100.0,104.9453125
1.0,95.0,0.005936827999903471,100.0,104.9453125
1.0,96.0,0.006762612999409612,100.0,104.9453125
1.0,97.0,0.003780757000640733,100.0,104.9453125
1.0,98.0,0.0037274679998517968,0.0,104.9453125
1.0,99.0,0.00480927500029793,100.0,104.9453125
1.0,100.0,0.006148870999822975,100.0,104.9453125
2.0,1.0,0.00365691400020296,100.0,104.9453125
2.0,2.0,0.0038021529999241466,100.0,104.9453125
2.0,3.0,0.005242225999609218,100.0,105.0703125
2.0,4.0,0.004027508000035596,100.0,105.0703125
