Métrica,Valor
Victorias,55.0
Empates,10.0
Derrotas,35.0
Reward promedio,1.6130000000000002
Tiempo total (s),254.57148507699821
GPU usada,1.0
LLM fallbacks totales,0.0
LLM invocaciones totales,417.0
