Epoch,Victorias,Empates,Derrotas,WinRate(%)
1.0,9.0,2.0,9.0,45.0
2.0,13.0,4.0,3.0,65.0
3.0,10.0,4.0,6.0,50.0
4.0,16.0,1.0,3.0,80.0
5.0,16.0,0.0,4.0,80.0
6.0,14.0,3.0,3.0,70.0
7.0,13.0,3.0,4.0,65.0
8.0,8.0,5.0,7.0,40.0
9.0,8.0,7.0,5.0,40.0
10.0,10.0,0.0,10.0,50.0
11.0,10.0,2.0,8.0,50.0
12.0,13.0,5.0,2.0,65.0
13.0,10.0,5.0,5.0,50.0
14.0,13.0,2.0,5.0,65.0
15.0,17.0,1.0,2.0,85.0
16.0,12.0,2.0,6.0,60.0
17.0,16.0,3.0,1.0,80.0
18.0,14.0,3.0,3.0,70.0
19.0,12.0,1.0,7.0,60.0
20.0,10.0,1.0,9.0,50.0
