Epoch,Victorias,Empates,Derrotas,WinRate(%)
1.0,56.0,13.0,31.0,56.00000000000001
2.0,58.0,18.0,24.0,57.99999999999999
3.0,64.0,10.0,26.0,64.0
4.0,64.0,18.0,18.0,64.0
5.0,62.0,16.0,22.0,62.0
6.0,55.0,11.0,34.0,55.00000000000001
7.0,68.0,12.0,20.0,68.0
8.0,64.0,15.0,21.0,64.0
9.0,56.0,14.0,30.0,56.00000000000001
10.0,58.0,11.0,31.0,57.99999999999999
11.0,72.0,7.0,21.0,72.0
12.0,67.0,13.0,20.0,67.0
13.0,64.0,15.0,21.0,64.0
14.0,65.0,12.0,23.0,65.0
15.0,64.0,12.0,24.0,64.0
16.0,66.0,13.0,21.0,66.0
17.0,68.0,9.0,23.0,68.0
18.0,67.0,7.0,26.0,67.0
19.0,70.0,13.0,17.0,70.0
20.0,66.0,13.0,21.0,66.0
21.0,72.0,12.0,16.0,72.0
22.0,73.0,10.0,17.0,73.0
23.0,64.0,10.0,26.0,64.0
24.0,57.0,14.0,29.0,56.99999999999999
25.0,71.0,12.0,17.0,71.0
26.0,68.0,15.0,17.0,68.0
27.0,73.0,13.0,14.0,73.0
28.0,73.0,13.0,14.0,73.0
29.0,59.0,16.0,25.0,59.0
30.0,68.0,13.0,19.0,68.0
31.0,65.0,15.0,20.0,65.0
32.0,66.0,12.0,22.0,66.0
33.0,69.0,15.0,16.0,69.0
34.0,76.0,8.0,16.0,76.0
35.0,75.0,14.0,11.0,75.0
36.0,69.0,14.0,17.0,69.0
37.0,80.0,10.0,10.0,80.0
38.0,67.0,10.0,23.0,67.0
39.0,70.0,16.0,14.0,70.0
40.0,72.0,14.0,14.0,72.0
41.0,78.0,13.0,9.0,78.0
42.0,64.0,16.0,20.0,64.0
43.0,70.0,16.0,14.0,70.0
44.0,77.0,8.0,15.0,77.0
45.0,81.0,6.0,13.0,81.0
46.0,75.0,13.0,12.0,75.0
47.0,74.0,12.0,14.0,74.0
48.0,77.0,8.0,15.0,77.0
49.0,71.0,12.0,17.0,71.0
50.0,76.0,15.0,9.0,76.0
51.0,76.0,9.0,15.0,76.0
52.0,71.0,14.0,15.0,71.0
53.0,83.0,5.0,12.0,83.0
54.0,72.0,14.0,14.0,72.0
55.0,77.0,12.0,11.0,77.0
56.0,73.0,12.0,15.0,73.0
57.0,82.0,8.0,10.0,82.0
58.0,71.0,14.0,15.0,71.0
59.0,77.0,11.0,12.0,77.0
60.0,72.0,10.0,18.0,72.0
61.0,72.0,14.0,14.0,72.0
62.0,77.0,11.0,12.0,77.0
63.0,79.0,8.0,13.0,79.0
64.0,82.0,11.0,7.0,82.0
65.0,79.0,10.0,11.0,79.0
66.0,67.0,13.0,20.0,67.0
67.0,82.0,10.0,8.0,82.0
68.0,84.0,7.0,9.0,84.0
69.0,80.0,9.0,11.0,80.0
70.0,71.0,19.0,10.0,71.0
71.0,78.0,14.0,8.0,78.0
72.0,76.0,12.0,12.0,76.0
73.0,83.0,8.0,9.0,83.0
74.0,85.0,5.0,10.0,85.0
75.0,80.0,10.0,10.0,80.0
76.0,81.0,10.0,9.0,81.0
77.0,79.0,12.0,9.0,79.0
78.0,84.0,12.0,4.0,84.0
79.0,75.0,14.0,11.0,75.0
80.0,79.0,9.0,12.0,79.0
81.0,75.0,15.0,10.0,75.0
82.0,76.0,13.0,11.0,76.0
83.0,81.0,6.0,13.0,81.0
84.0,81.0,10.0,9.0,81.0
85.0,73.0,10.0,17.0,73.0
86.0,75.0,12.0,13.0,75.0
87.0,81.0,11.0,8.0,81.0
88.0,76.0,14.0,10.0,76.0
89.0,77.0,14.0,9.0,77.0
90.0,78.0,11.0,11.0,78.0
91.0,81.0,9.0,10.0,81.0
92.0,80.0,14.0,6.0,80.0
93.0,87.0,7.0,6.0,87.0
94.0,79.0,11.0,10.0,79.0
95.0,80.0,10.0,10.0,80.0
96.0,84.0,12.0,4.0,84.0
97.0,77.0,11.0,12.0,77.0
98.0,77.0,15.0,8.0,77.0
99.0,77.0,11.0,12.0,77.0
100.0,80.0,7.0,13.0,80.0
