Epoch,Episodio,Tiempo(s),CPU(%),RAM(MB),GPU_mem(MB)
1.0,1.0,10.724650803999793,22.9,634.27734375,0.0
1.0,2.0,12.603682075000052,9.5,638.18359375,0.0
1.0,3.0,4.227860438999869,2.1,638.25390625,0.0
1.0,4.0,3.5375364759997865,28.6,638.32421875,0.0
1.0,5.0,5.366038246000244,2.2,638.40234375,0.0
1.0,6.0,7.8259040719999575,14.3,638.44921875,0.0
1.0,7.0,2.268892983999649,3.8,638.51171875,0.0
1.0,8.0,8.610489387000143,26.4,638.52734375,0.0
1.0,9.0,6.5339842770004,2.5,638.53125,0.0
1.0,10.0,6.655034032000003,18.0,638.5546875,0.0
1.0,11.0,3.4952817010002946,2.1,638.5859375,0.0
1.0,12.0,3.585727374000271,2.0,638.609375,0.0
1.0,13.0,4.185568697000235,26.5,638.6875,0.0
1.0,14.0,6.383211641999878,1.8,638.75,0.0
1.0,15.0,3.6309360640002524,23.5,638.76171875,0.0
1.0,16.0,5.761940629000037,5.2,638.765625,0.0
1.0,17.0,2.5754288009998163,2.1,638.79296875,0.0
1.0,18.0,3.338780885000233,23.9,638.83203125,0.0
1.0,19.0,4.041443412999797,7.6,638.86328125,0.0
1.0,20.0,3.535582305999924,2.4,638.8984375,0.0
1.0,21.0,5.8394538469997315,18.6,638.94140625,0.0
1.0,22.0,3.020809350000036,2.0,638.9921875,0.0
1.0,23.0,1.9935143610000523,1.8,639.05078125,0.0
1.0,24.0,3.6168120990000716,1.8,639.07421875,0.0
1.0,25.0,8.612632640999891,13.1,639.0859375,0.0
1.0,26.0,3.192318472000352,2.0,639.10546875,0.0
1.0,27.0,7.980512407999868,14.7,639.14453125,0.0
1.0,28.0,3.516836055999647,2.1,639.171875,0.0
1.0,29.0,2.8123042629999873,35.7,639.21875,0.0
1.0,30.0,3.968381428000157,2.1,639.2578125,0.0
1.0,31.0,4.401335518999986,3.1,639.30859375,0.0
1.0,32.0,4.3882382609999695,23.5,639.36328125,0.0
1.0,33.0,14.893581000999802,12.4,639.39453125,0.0
1.0,34.0,4.662174036000124,9.3,639.39453125,0.0
1.0,35.0,3.2696337150000545,31.7,639.39453125,0.0
1.0,36.0,7.40354108199972,2.6,639.40234375,0.0
1.0,37.0,2.769084803000169,23.7,639.40234375,0.0
1.0,38.0,1.912341121999816,21.6,639.41015625,0.0
1.0,39.0,2.7377300150001247,2.4,639.41015625,0.0
1.0,40.0,9.869029165000029,11.9,639.41796875,0.0
1.0,41.0,6.3550939169999765,2.1,639.43359375,0.0
1.0,42.0,4.080761980000261,25.1,639.4765625,0.0
1.0,43.0,2.5920900759997494,2.1,639.5,0.0
1.0,44.0,3.7964857179999854,2.2,639.5,0.0
1.0,45.0,7.362097222000102,16.1,639.5,0.0
1.0,46.0,1.8169341420002638,2.2,639.50390625,0.0
1.0,47.0,8.496870509000019,13.4,639.50390625,0.0
1.0,48.0,2.4269016529997316,2.9,639.5078125,0.0
1.0,49.0,3.6270048030000908,3.2,639.51171875,0.0
1.0,50.0,2.3210196570003063,2.4,639.51953125,0.0
1.0,51.0,5.81557764199988,18.0,639.54296875,0.0
1.0,52.0,3.513021435000155,3.7,639.5859375,0.0
1.0,53.0,2.753897977000179,5.8,639.59375,0.0
1.0,54.0,4.871439353999904,21.5,639.59765625,0.0
1.0,55.0,6.49822555999981,2.7,639.59765625,0.0
1.0,56.0,2.777831958000206,36.7,639.59765625,0.0
1.0,57.0,2.8060668749999422,2.5,639.59765625,0.0
1.0,58.0,4.101819186999819,2.1,639.59765625,0.0
1.0,59.0,11.112684757000352,10.7,639.6015625,0.0
1.0,60.0,4.969017775999873,21.5,639.60546875,0.0
1.0,61.0,2.8006866299997455,3.0,639.60546875,0.0
1.0,62.0,7.277670864999891,2.8,639.609375,0.0
1.0,63.0,3.205646154999613,31.1,639.61328125,0.0
1.0,64.0,8.194152295000094,2.6,639.62109375,0.0
1.0,65.0,3.7241826320000655,27.0,639.62890625,0.0
1.0,66.0,3.3902654210000946,3.8,639.62890625,0.0
1.0,67.0,4.482526449000034,3.1,639.62890625,0.0
1.0,68.0,4.054978909000056,25.7,639.6328125,0.0
1.0,69.0,4.462879389000136,2.9,639.640625,0.0
1.0,70.0,3.4511511730001985,2.3,639.64453125,0.0
1.0,71.0,3.5366829069998857,30.4,639.66015625,0.0
1.0,72.0,4.760365249000188,3.1,639.6953125,0.0
1.0,73.0,5.059644245000072,14.8,639.71875,0.0
1.0,74.0,8.363066915000218,7.1,639.7421875,0.0
1.0,75.0,2.7399852949997694,12.7,639.7421875,0.0
1.0,76.0,3.4882893520002654,23.6,639.7421875,0.0
1.0,77.0,14.055705512000259,9.1,639.74609375,0.0
1.0,78.0,3.272924118999981,3.2,639.75,0.0
1.0,79.0,8.102798033999989,14.6,639.75,0.0
1.0,80.0,3.3788247510001383,3.4,639.75390625,0.0
1.0,81.0,4.159990007000033,20.3,639.7578125,0.0
1.0,82.0,2.810350570999617,10.6,639.78125,0.0
1.0,83.0,11.912587380999867,10.8,639.796875,0.0
1.0,84.0,3.6796902070000215,3.8,639.80859375,0.0
1.0,85.0,7.661902240000018,15.9,639.80859375,0.0
1.0,86.0,4.451536904000022,2.0,639.80859375,0.0
1.0,87.0,2.539028541999869,2.4,639.80859375,0.0
1.0,88.0,5.286188667999795,21.0,639.81640625,0.0
1.0,89.0,4.1689847569996346,2.0,639.81640625,0.0
1.0,90.0,5.382844121999824,21.3,639.83984375,0.0
1.0,91.0,3.929820929000016,2.0,639.84375,0.0
1.0,92.0,2.1489890040002138,2.6,639.8828125,0.0
1.0,93.0,3.3455004669999653,3.3,639.91015625,0.0
1.0,94.0,3.30140914399999,30.9,639.91015625,0.0
1.0,95.0,2.1721676880001723,2.8,639.91015625,0.0
1.0,96.0,5.373931864000042,2.6,639.91015625,0.0
1.0,97.0,1.968270780000239,21.9,639.91015625,0.0
1.0,98.0,10.583480426999813,8.0,639.91015625,0.0
1.0,99.0,3.459115865000058,30.0,639.91796875,0.0
1.0,100.0,4.34949208099988,3.0,639.92578125,0.0
