Métrica,Valor
Victorias,116.0
Empates,17.0
Derrotas,67.0
Reward promedio,0.146
Tiempo total (s),1215.2351623449974
GPU usada,1.0
LLM fallbacks totales,0.0
LLM invocaciones totales,828.0
