Epoch,Victorias,Empates,Derrotas,WinRate(%)
155.0,14.0,0.0,6.0,70.0
156.0,11.0,4.0,5.0,55.00000000000001
157.0,12.0,0.0,8.0,60.0
158.0,10.0,2.0,8.0,50.0
159.0,13.0,0.0,7.0,65.0
160.0,11.0,2.0,7.0,55.00000000000001
161.0,12.0,0.0,8.0,60.0
162.0,11.0,1.0,8.0,55.00000000000001
163.0,9.0,1.0,10.0,45.0
164.0,13.0,1.0,6.0,65.0
165.0,9.0,4.0,7.0,45.0
166.0,10.0,1.0,9.0,50.0
167.0,12.0,3.0,5.0,60.0
168.0,10.0,4.0,6.0,50.0
169.0,11.0,1.0,8.0,55.00000000000001
170.0,8.0,5.0,7.0,40.0
171.0,10.0,6.0,4.0,50.0
172.0,10.0,2.0,8.0,50.0
173.0,10.0,0.0,10.0,50.0
174.0,10.0,3.0,7.0,50.0
175.0,11.0,3.0,6.0,55.00000000000001
176.0,16.0,0.0,4.0,80.0
177.0,6.0,2.0,12.0,30.0
178.0,15.0,2.0,3.0,75.0
179.0,9.0,6.0,5.0,45.0
180.0,8.0,0.0,12.0,40.0
181.0,10.0,4.0,6.0,50.0
182.0,9.0,2.0,9.0,45.0
183.0,11.0,3.0,6.0,55.00000000000001
184.0,16.0,0.0,4.0,80.0
185.0,10.0,2.0,8.0,50.0
186.0,10.0,2.0,8.0,50.0
187.0,7.0,3.0,10.0,35.0
188.0,10.0,6.0,4.0,50.0
189.0,10.0,3.0,7.0,50.0
190.0,7.0,3.0,10.0,35.0
191.0,4.0,4.0,12.0,20.0
192.0,10.0,1.0,9.0,50.0
193.0,12.0,0.0,8.0,60.0
194.0,9.0,3.0,8.0,45.0
195.0,8.0,3.0,9.0,40.0
196.0,15.0,1.0,4.0,75.0
197.0,13.0,2.0,5.0,65.0
198.0,7.0,4.0,9.0,35.0
199.0,11.0,0.0,9.0,55.00000000000001
200.0,13.0,1.0,6.0,65.0
201.0,12.0,0.0,8.0,60.0
202.0,14.0,0.0,6.0,70.0
203.0,8.0,5.0,7.0,40.0
204.0,11.0,2.0,7.0,55.00000000000001
205.0,10.0,3.0,7.0,50.0
206.0,12.0,1.0,7.0,60.0
207.0,12.0,5.0,3.0,60.0
208.0,14.0,1.0,5.0,70.0
209.0,10.0,3.0,7.0,50.0
210.0,10.0,4.0,6.0,50.0
211.0,10.0,1.0,9.0,50.0
212.0,14.0,2.0,4.0,70.0
213.0,11.0,3.0,6.0,55.00000000000001
214.0,12.0,3.0,5.0,60.0
215.0,12.0,3.0,5.0,60.0
216.0,9.0,2.0,9.0,45.0
217.0,11.0,1.0,8.0,55.00000000000001
218.0,13.0,2.0,5.0,65.0
219.0,12.0,1.0,7.0,60.0
220.0,12.0,3.0,5.0,60.0
221.0,11.0,4.0,5.0,55.00000000000001
222.0,10.0,2.0,8.0,50.0
223.0,12.0,2.0,6.0,60.0
224.0,10.0,2.0,8.0,50.0
225.0,9.0,4.0,7.0,45.0
226.0,9.0,1.0,10.0,45.0
227.0,7.0,5.0,8.0,35.0
228.0,11.0,2.0,7.0,55.00000000000001
229.0,12.0,3.0,5.0,60.0
230.0,12.0,3.0,5.0,60.0
231.0,8.0,2.0,10.0,40.0
232.0,10.0,4.0,6.0,50.0
233.0,10.0,4.0,6.0,50.0
234.0,9.0,5.0,6.0,45.0
235.0,8.0,2.0,10.0,40.0
236.0,9.0,3.0,8.0,45.0
237.0,9.0,2.0,9.0,45.0
238.0,12.0,0.0,8.0,60.0
239.0,11.0,2.0,7.0,55.00000000000001
240.0,12.0,2.0,6.0,60.0
241.0,8.0,2.0,10.0,40.0
242.0,11.0,2.0,7.0,55.00000000000001
243.0,11.0,2.0,7.0,55.00000000000001
244.0,10.0,2.0,8.0,50.0
245.0,12.0,1.0,7.0,60.0
246.0,9.0,2.0,9.0,45.0
247.0,10.0,3.0,7.0,50.0
248.0,9.0,3.0,8.0,45.0
249.0,10.0,3.0,7.0,50.0
250.0,9.0,3.0,8.0,45.0
251.0,13.0,3.0,4.0,65.0
252.0,8.0,4.0,8.0,40.0
253.0,12.0,1.0,7.0,60.0
254.0,11.0,3.0,6.0,55.00000000000001
255.0,8.0,3.0,9.0,40.0
256.0,13.0,3.0,4.0,65.0
257.0,12.0,2.0,6.0,60.0
258.0,9.0,3.0,8.0,45.0
259.0,12.0,2.0,6.0,60.0
260.0,10.0,1.0,9.0,50.0
261.0,10.0,3.0,7.0,50.0
262.0,10.0,2.0,8.0,50.0
263.0,10.0,1.0,9.0,50.0
264.0,9.0,4.0,7.0,45.0
265.0,12.0,3.0,5.0,60.0
266.0,16.0,1.0,3.0,80.0
267.0,12.0,2.0,6.0,60.0
268.0,9.0,1.0,10.0,45.0
269.0,12.0,2.0,6.0,60.0
270.0,10.0,3.0,7.0,50.0
271.0,11.0,2.0,7.0,55.00000000000001
272.0,11.0,2.0,7.0,55.00000000000001
273.0,14.0,1.0,5.0,70.0
274.0,12.0,1.0,7.0,60.0
275.0,11.0,3.0,6.0,55.00000000000001
276.0,7.0,1.0,12.0,35.0
277.0,11.0,1.0,8.0,55.00000000000001
278.0,11.0,4.0,5.0,55.00000000000001
279.0,8.0,4.0,8.0,40.0
280.0,13.0,5.0,2.0,65.0
281.0,9.0,5.0,6.0,45.0
282.0,5.0,5.0,10.0,25.0
283.0,12.0,2.0,6.0,60.0
284.0,11.0,3.0,6.0,55.00000000000001
285.0,12.0,1.0,7.0,60.0
286.0,14.0,3.0,3.0,70.0
287.0,10.0,3.0,7.0,50.0
288.0,14.0,2.0,4.0,70.0
289.0,12.0,1.0,7.0,60.0
290.0,13.0,0.0,7.0,65.0
291.0,10.0,3.0,7.0,50.0
292.0,11.0,1.0,8.0,55.00000000000001
293.0,12.0,2.0,6.0,60.0
294.0,7.0,4.0,9.0,35.0
295.0,9.0,5.0,6.0,45.0
296.0,13.0,1.0,6.0,65.0
297.0,14.0,2.0,4.0,70.0
298.0,13.0,0.0,7.0,65.0
299.0,7.0,5.0,8.0,35.0
300.0,13.0,1.0,6.0,65.0
301.0,12.0,3.0,5.0,60.0
302.0,10.0,1.0,9.0,50.0
303.0,11.0,2.0,7.0,55.00000000000001
304.0,13.0,1.0,6.0,65.0
305.0,13.0,1.0,6.0,65.0
306.0,12.0,2.0,6.0,60.0
307.0,9.0,3.0,8.0,45.0
308.0,10.0,4.0,6.0,50.0
309.0,8.0,5.0,7.0,40.0
310.0,15.0,2.0,3.0,75.0
311.0,11.0,2.0,7.0,55.00000000000001
312.0,6.0,5.0,9.0,30.0
313.0,10.0,2.0,8.0,50.0
314.0,13.0,2.0,5.0,65.0
315.0,10.0,7.0,3.0,50.0
316.0,10.0,2.0,8.0,50.0
317.0,6.0,6.0,8.0,30.0
318.0,13.0,1.0,6.0,65.0
319.0,13.0,2.0,5.0,65.0
320.0,9.0,5.0,6.0,45.0
321.0,11.0,5.0,4.0,55.00000000000001
322.0,10.0,3.0,7.0,50.0
323.0,15.0,2.0,3.0,75.0
324.0,13.0,4.0,3.0,65.0
325.0,12.0,4.0,4.0,60.0
326.0,13.0,2.0,5.0,65.0
327.0,11.0,3.0,6.0,55.00000000000001
328.0,12.0,2.0,6.0,60.0
329.0,8.0,3.0,9.0,40.0
330.0,12.0,2.0,6.0,60.0
331.0,10.0,2.0,8.0,50.0
332.0,11.0,3.0,6.0,55.00000000000001
333.0,9.0,2.0,9.0,45.0
334.0,12.0,3.0,5.0,60.0
335.0,10.0,1.0,9.0,50.0
336.0,12.0,4.0,4.0,60.0
337.0,8.0,4.0,8.0,40.0
338.0,8.0,7.0,5.0,40.0
339.0,12.0,2.0,6.0,60.0
340.0,11.0,2.0,7.0,55.00000000000001
341.0,9.0,3.0,8.0,45.0
342.0,11.0,2.0,7.0,55.00000000000001
343.0,11.0,3.0,6.0,55.00000000000001
344.0,11.0,3.0,6.0,55.00000000000001
345.0,12.0,1.0,7.0,60.0
346.0,14.0,1.0,5.0,70.0
347.0,8.0,2.0,10.0,40.0
348.0,12.0,2.0,6.0,60.0
349.0,5.0,3.0,12.0,25.0
350.0,13.0,4.0,3.0,65.0
351.0,12.0,1.0,7.0,60.0
352.0,10.0,4.0,6.0,50.0
353.0,12.0,3.0,5.0,60.0
354.0,12.0,3.0,5.0,60.0
355.0,12.0,1.0,7.0,60.0
356.0,12.0,0.0,8.0,60.0
357.0,10.0,4.0,6.0,50.0
358.0,11.0,3.0,6.0,55.00000000000001
359.0,9.0,4.0,7.0,45.0
360.0,13.0,1.0,6.0,65.0
361.0,14.0,1.0,5.0,70.0
362.0,9.0,2.0,9.0,45.0
363.0,9.0,2.0,9.0,45.0
364.0,15.0,1.0,4.0,75.0
365.0,9.0,2.0,9.0,45.0
366.0,10.0,3.0,7.0,50.0
367.0,12.0,5.0,3.0,60.0
368.0,13.0,1.0,6.0,65.0
369.0,10.0,4.0,6.0,50.0
370.0,11.0,5.0,4.0,55.00000000000001
371.0,10.0,3.0,7.0,50.0
372.0,11.0,0.0,9.0,55.00000000000001
373.0,16.0,2.0,2.0,80.0
374.0,15.0,0.0,5.0,75.0
375.0,11.0,2.0,7.0,55.00000000000001
376.0,12.0,1.0,7.0,60.0
377.0,5.0,7.0,8.0,25.0
378.0,10.0,1.0,9.0,50.0
379.0,9.0,2.0,9.0,45.0
380.0,12.0,3.0,5.0,60.0
381.0,9.0,5.0,6.0,45.0
382.0,11.0,4.0,5.0,55.00000000000001
383.0,11.0,3.0,6.0,55.00000000000001
384.0,8.0,4.0,8.0,40.0
385.0,12.0,3.0,5.0,60.0
386.0,15.0,2.0,3.0,75.0
387.0,13.0,1.0,6.0,65.0
388.0,14.0,4.0,2.0,70.0
389.0,10.0,5.0,5.0,50.0
390.0,8.0,5.0,7.0,40.0
391.0,14.0,2.0,4.0,70.0
392.0,10.0,2.0,8.0,50.0
393.0,11.0,1.0,8.0,55.00000000000001
394.0,11.0,3.0,6.0,55.00000000000001
395.0,13.0,3.0,4.0,65.0
396.0,11.0,2.0,7.0,55.00000000000001
397.0,13.0,2.0,5.0,65.0
398.0,12.0,4.0,4.0,60.0
399.0,4.0,4.0,12.0,20.0
400.0,12.0,3.0,5.0,60.0
401.0,15.0,2.0,3.0,75.0
402.0,8.0,4.0,8.0,40.0
403.0,9.0,4.0,7.0,45.0
404.0,13.0,2.0,5.0,65.0
405.0,9.0,1.0,10.0,45.0
406.0,10.0,3.0,7.0,50.0
407.0,9.0,3.0,8.0,45.0
408.0,12.0,1.0,7.0,60.0
409.0,9.0,3.0,8.0,45.0
410.0,14.0,4.0,2.0,70.0
411.0,14.0,3.0,3.0,70.0
412.0,11.0,1.0,8.0,55.00000000000001
413.0,11.0,2.0,7.0,55.00000000000001
414.0,12.0,0.0,8.0,60.0
415.0,12.0,2.0,6.0,60.0
416.0,9.0,4.0,7.0,45.0
417.0,7.0,6.0,7.0,35.0
418.0,13.0,3.0,4.0,65.0
419.0,13.0,0.0,7.0,65.0
420.0,14.0,1.0,5.0,70.0
421.0,17.0,0.0,3.0,85.0
422.0,9.0,3.0,8.0,45.0
423.0,11.0,6.0,3.0,55.00000000000001
424.0,10.0,5.0,5.0,50.0
425.0,9.0,2.0,9.0,45.0
426.0,10.0,4.0,6.0,50.0
427.0,15.0,1.0,4.0,75.0
428.0,13.0,2.0,5.0,65.0
429.0,12.0,0.0,8.0,60.0
430.0,12.0,2.0,6.0,60.0
431.0,11.0,4.0,5.0,55.00000000000001
432.0,11.0,4.0,5.0,55.00000000000001
433.0,4.0,5.0,11.0,20.0
434.0,10.0,5.0,5.0,50.0
435.0,14.0,1.0,5.0,70.0
436.0,6.0,3.0,11.0,30.0
437.0,10.0,4.0,6.0,50.0
438.0,10.0,3.0,7.0,50.0
439.0,11.0,5.0,4.0,55.00000000000001
440.0,9.0,4.0,7.0,45.0
441.0,10.0,3.0,7.0,50.0
442.0,12.0,3.0,5.0,60.0
443.0,13.0,1.0,6.0,65.0
444.0,10.0,1.0,9.0,50.0
445.0,14.0,2.0,4.0,70.0
446.0,9.0,1.0,10.0,45.0
447.0,9.0,5.0,6.0,45.0
448.0,11.0,3.0,6.0,55.00000000000001
449.0,14.0,2.0,4.0,70.0
450.0,13.0,1.0,6.0,65.0
451.0,12.0,3.0,5.0,60.0
452.0,7.0,3.0,10.0,35.0
453.0,12.0,3.0,5.0,60.0
454.0,12.0,3.0,5.0,60.0
455.0,14.0,1.0,5.0,70.0
456.0,14.0,1.0,5.0,70.0
457.0,11.0,2.0,7.0,55.00000000000001
458.0,7.0,3.0,10.0,35.0
459.0,15.0,3.0,2.0,75.0
460.0,13.0,2.0,5.0,65.0
461.0,9.0,4.0,7.0,45.0
462.0,8.0,1.0,11.0,40.0
463.0,14.0,1.0,5.0,70.0
464.0,10.0,3.0,7.0,50.0
465.0,11.0,3.0,6.0,55.00000000000001
466.0,8.0,4.0,8.0,40.0
467.0,14.0,0.0,6.0,70.0
468.0,10.0,2.0,8.0,50.0
469.0,12.0,3.0,5.0,60.0
470.0,13.0,1.0,6.0,65.0
471.0,11.0,3.0,6.0,55.00000000000001
472.0,11.0,3.0,6.0,55.00000000000001
473.0,13.0,2.0,5.0,65.0
