Métrica,Valor
Victorias,57.0
Empates,10.0
Derrotas,33.0
Reward promedio,0.185
Tiempo total (s),496.3307260400002
GPU usada,1.0
LLM fallbacks totales,0.0
LLM invocaciones totales,411.0
