Epoch,Exitos,Fracasos,WinRate(%)
1.0,9.0,85.0,9.0
2.0,6.0,93.0,6.0
3.0,16.0,79.0,16.0
4.0,12.0,86.0,12.0
5.0,10.0,87.0,10.0
6.0,14.0,83.0,14.0
7.0,20.0,73.0,20.0
8.0,19.0,79.0,19.0
9.0,23.0,71.0,23.0
10.0,23.0,72.0,23.0
11.0,19.0,77.0,19.0
12.0,28.0,68.0,28.0
13.0,28.0,72.0,28.0
14.0,28.0,68.0,28.0
15.0,30.0,69.0,30.0
16.0,34.0,62.0,34.0
17.0,38.0,62.0,38.0
18.0,38.0,62.0,38.0
19.0,46.0,54.0,46.0
20.0,48.0,52.0,48.0
21.0,44.0,56.0,44.0
22.0,42.0,57.0,42.0
23.0,55.0,45.0,55.0
24.0,55.0,44.0,55.0
25.0,69.0,31.0,69.0
26.0,53.0,47.0,53.0
27.0,61.0,37.0,61.0
28.0,54.0,46.0,54.0
29.0,67.0,33.0,67.0
30.0,66.0,34.0,66.0
31.0,63.0,37.0,63.0
32.0,72.0,27.0,72.0
33.0,74.0,26.0,74.0
34.0,76.0,24.0,76.0
35.0,79.0,20.0,79.0
36.0,81.0,19.0,81.0
37.0,80.0,20.0,80.0
38.0,88.0,12.0,88.0
39.0,82.0,18.0,82.0
40.0,88.0,12.0,88.0
41.0,82.0,17.0,82.0
42.0,92.0,8.0,92.0
43.0,89.0,10.0,89.0
44.0,95.0,4.0,95.0
45.0,93.0,7.0,93.0
46.0,93.0,6.0,93.0
47.0,91.0,9.0,91.0
48.0,96.0,4.0,96.0
49.0,100.0,0.0,100.0
50.0,95.0,4.0,95.0
51.0,93.0,6.0,93.0
52.0,97.0,3.0,97.0
53.0,96.0,4.0,96.0
54.0,97.0,2.0,97.0
55.0,96.0,4.0,96.0
56.0,94.0,5.0,94.0
57.0,94.0,6.0,94.0
58.0,97.0,3.0,97.0
59.0,97.0,3.0,97.0
60.0,98.0,2.0,98.0
61.0,97.0,3.0,97.0
62.0,97.0,3.0,97.0
63.0,98.0,1.0,98.0
64.0,97.0,3.0,97.0
65.0,98.0,2.0,98.0
66.0,94.0,5.0,94.0
67.0,95.0,5.0,95.0
68.0,96.0,2.0,96.0
69.0,92.0,8.0,92.0
70.0,94.0,5.0,94.0
71.0,94.0,4.0,94.0
72.0,96.0,4.0,96.0
73.0,95.0,5.0,95.0
74.0,93.0,7.0,93.0
75.0,98.0,2.0,98.0
76.0,100.0,0.0,100.0
77.0,98.0,2.0,98.0
78.0,97.0,2.0,97.0
79.0,94.0,5.0,94.0
80.0,94.0,6.0,94.0
81.0,96.0,4.0,96.0
82.0,95.0,4.0,95.0
83.0,93.0,7.0,93.0
84.0,95.0,5.0,95.0
85.0,97.0,2.0,97.0
86.0,91.0,8.0,91.0
87.0,97.0,3.0,97.0
88.0,94.0,4.0,94.0
89.0,82.0,9.0,82.0
90.0,96.0,2.0,96.0
91.0,92.0,7.0,92.0
92.0,95.0,3.0,95.0
93.0,97.0,3.0,97.0
94.0,93.0,6.0,93.0
95.0,98.0,2.0,98.0
96.0,96.0,4.0,96.0
97.0,97.0,2.0,97.0
98.0,96.0,4.0,96.0
99.0,93.0,7.0,93.0
100.0,96.0,4.0,96.0
