test,num_evaluacion,partida_eval,ganado,movimientos
Random DeepQ,2,74,0,3
Random DeepQ,2,75,1,5
Random DeepQ,2,76,0,4
Random DeepQ,2,77,0,5
Random DeepQ,2,78,1,4
Random DeepQ,2,79,0,4
Random DeepQ,2,80,0,4
Random DeepQ,2,81,1,5
Random DeepQ,2,82,0,4
Random DeepQ,2,83,1,5
Random DeepQ,2,84,0,3
Random DeepQ,2,85,0,3
Random DeepQ,2,86,0,5
Random DeepQ,2,87,0,4
Random DeepQ,2,88,0,3
Random DeepQ,2,89,1,5
Random DeepQ,2,90,0,3
Random DeepQ,2,91,1,4
Random DeepQ,2,92,0,4
Random DeepQ,2,93,0,4
Random DeepQ,2,94,0,2
Random DeepQ,2,95,0,4
Random DeepQ,2,96,0,4
Random DeepQ,2,97,1,5
Random DeepQ,2,98,0,3
Random DeepQ,2,99,1,5
Random DeepQ,2,100,0,5
Random DeepQ,3,1,1,5
Random DeepQ,3,2,0,4
Random DeepQ,3,3,0,4
Random DeepQ,3,4,0,4
Random DeepQ,3,5,1,5
Random DeepQ,3,6,1,4
Random DeepQ,3,7,1,4
Random DeepQ,3,8,1,3
Random DeepQ,3,9,1,4
Random DeepQ,3,10,0,2
Random DeepQ,3,11,1,3
Random DeepQ,3,12,1,5
Random DeepQ,3,13,1,3
Random DeepQ,3,14,0,5
Random DeepQ,3,15,0,3
Random DeepQ,3,16,0,3
Random DeepQ,3,17,1,5
Random DeepQ,3,18,0,4
Random DeepQ,3,19,1,5
Random DeepQ,3,20,1,4
Random DeepQ,3,21,1,4
Random DeepQ,3,22,0,4
Random DeepQ,3,23,1,3
Random DeepQ,3,24,0,2
Random DeepQ,3,25,1,5
Random DeepQ,3,26,0,5
Random DeepQ,3,27,0,5
Random DeepQ,3,28,0,4
Random DeepQ,3,29,1,5
Random DeepQ,3,30,0,2
Random DeepQ,3,31,0,3
Random DeepQ,3,32,0,3
Random DeepQ,3,33,0,3
Random DeepQ,3,34,0,4
Random DeepQ,3,35,0,3
Random DeepQ,3,36,0,4
Random DeepQ,3,37,1,4
Random DeepQ,3,38,0,4
Random DeepQ,3,39,0,4
Random DeepQ,3,40,0,3
Random DeepQ,3,41,0,4
Random DeepQ,3,42,0,3
Random DeepQ,3,43,0,4
Random DeepQ,3,44,0,3
Random DeepQ,3,45,1,5
Random DeepQ,3,46,0,4
Random DeepQ,3,47,0,4
Random DeepQ,3,48,0,2
Random DeepQ,3,49,0,5
Random DeepQ,3,50,0,5
Random DeepQ,3,51,0,5
Random DeepQ,3,52,0,3
Random DeepQ,3,53,1,5
Random DeepQ,3,54,0,4
Random DeepQ,3,55,1,4
Random DeepQ,3,56,0,3
Random DeepQ,3,57,1,4
Random DeepQ,3,58,0,4
Random DeepQ,3,59,1,5
Random DeepQ,3,60,1,4
Random DeepQ,3,61,0,4
Random DeepQ,3,62,0,4
Random DeepQ,3,63,1,3
Random DeepQ,3,64,0,4
Random DeepQ,3,65,1,4
Random DeepQ,3,66,0,4
Random DeepQ,3,67,0,5
Random DeepQ,3,68,0,5
Random DeepQ,3,69,0,3
Random DeepQ,3,70,1,3
Random DeepQ,3,71,0,4
Random DeepQ,3,72,0,3
Random DeepQ,3,73,0,4
Random DeepQ,3,74,0,4
Random DeepQ,3,75,0,3
Random DeepQ,3,76,0,5
Random DeepQ,3,77,1,4
Random DeepQ,3,78,0,5
Random DeepQ,3,79,1,4
Random DeepQ,3,80,0,3
Random DeepQ,3,81,1,4
Random DeepQ,3,82,0,4
Random DeepQ,3,83,0,3
Random DeepQ,3,84,0,5
Random DeepQ,3,85,1,4
Random DeepQ,3,86,0,3
Random DeepQ,3,87,0,5
Random DeepQ,3,88,0,3
Random DeepQ,3,89,0,3
Random DeepQ,3,90,0,2
Random DeepQ,3,91,0,4
Random DeepQ,3,92,0,4
Random DeepQ,3,93,1,4
Random DeepQ,3,94,0,3
Random DeepQ,3,95,1,5
Random DeepQ,3,96,0,4
Random DeepQ,3,97,0,5
Random DeepQ,3,98,1,3
Random DeepQ,3,99,1,4
Random DeepQ,3,100,0,5
Random DeepQ,4,1,1,3
Random DeepQ,4,2,0,4
Random DeepQ,4,3,0,4
Random DeepQ,4,4,0,4
Random DeepQ,4,5,0,5
Random DeepQ,4,6,0,2
Random DeepQ,4,7,1,4
Random DeepQ,4,8,1,4
Random DeepQ,4,9,0,4
Random DeepQ,4,10,0,4
Random DeepQ,4,11,0,5
Random DeepQ,4,12,0,3
Random DeepQ,4,13,1,4
Random DeepQ,4,14,0,3
Random DeepQ,4,15,1,5
Random DeepQ,4,16,0,4
Random DeepQ,4,17,0,5
Random DeepQ,4,18,0,4
Random DeepQ,4,19,0,4
Random DeepQ,4,20,0,3
Random DeepQ,4,21,1,5
Random DeepQ,4,22,0,4
Random DeepQ,4,23,0,3
Random DeepQ,4,24,0,3
Random DeepQ,4,25,1,5
Random DeepQ,4,26,1,4
Random DeepQ,4,27,1,5
Random DeepQ,4,28,0,4
Random DeepQ,4,29,1,4
Random DeepQ,4,30,0,5
Random DeepQ,4,31,0,4
Random DeepQ,4,32,0,4
Random DeepQ,4,33,0,4
Random DeepQ,4,34,1,3
Random DeepQ,4,35,0,3
Random DeepQ,4,36,1,4
Random DeepQ,4,37,1,4
Random DeepQ,4,38,0,3
Random DeepQ,4,39,0,5
Random DeepQ,4,40,0,4
Random DeepQ,4,41,1,5
Random DeepQ,4,42,0,3
Random DeepQ,4,43,1,5
Random DeepQ,4,44,0,4
Random DeepQ,4,45,0,5
Random DeepQ,4,46,0,5
Random DeepQ,4,47,1,4
Random DeepQ,4,48,0,4
Random DeepQ,4,49,1,5
Random DeepQ,4,50,0,4
Random DeepQ,4,51,0,5
Random DeepQ,4,52,0,4
Random DeepQ,4,53,1,4
Random DeepQ,4,54,0,4
Random DeepQ,4,55,0,3
Random DeepQ,4,56,1,3
Random DeepQ,4,57,0,4
Random DeepQ,4,58,1,4
Random DeepQ,4,59,0,3
Random DeepQ,4,60,0,4
Random DeepQ,4,61,1,4
Random DeepQ,4,62,0,4
Random DeepQ,4,63,1,5
Random DeepQ,4,64,1,4
Random DeepQ,4,65,0,3
Random DeepQ,4,66,0,5
Random DeepQ,4,67,0,3
Random DeepQ,4,68,0,4
Random DeepQ,4,69,1,4
Random DeepQ,4,70,0,3
Random DeepQ,4,71,0,4
Random DeepQ,4,72,0,4
Random DeepQ,4,73,1,5
Random DeepQ,4,74,1,4
Random DeepQ,4,75,1,4
Random DeepQ,4,76,0,4
Random DeepQ,4,77,1,3
Random DeepQ,4,78,0,3
Random DeepQ,4,79,1,4
Random DeepQ,4,80,0,3
Random DeepQ,4,81,0,5
Random DeepQ,4,82,0,2
Random DeepQ,4,83,0,4
Random DeepQ,4,84,1,4
Random DeepQ,4,85,1,4
Random DeepQ,4,86,0,3
Random DeepQ,4,87,0,3
Random DeepQ,4,88,1,4
Random DeepQ,4,89,1,5
Random DeepQ,4,90,0,3
Random DeepQ,4,91,0,4
Random DeepQ,4,92,1,4
Random DeepQ,4,93,1,5
Random DeepQ,4,94,0,4
Random DeepQ,4,95,1,5
Random DeepQ,4,96,0,4
Random DeepQ,4,97,1,5
Random DeepQ,4,98,0,3
Random DeepQ,4,99,1,5
Random DeepQ,4,100,1,4
Random DeepQ,5,1,0,5
Random DeepQ,5,2,0,3
Random DeepQ,5,3,1,5
Random DeepQ,5,4,0,4
Random DeepQ,5,5,1,4
Random DeepQ,5,6,0,3
Random DeepQ,5,7,1,5
Random DeepQ,5,8,0,4
Random DeepQ,5,9,0,4
Random DeepQ,5,10,0,3
Random DeepQ,5,11,1,5
Random DeepQ,5,12,0,3
Random DeepQ,5,13,0,5
Random DeepQ,5,14,0,3
Random DeepQ,5,15,1,4
Random DeepQ,5,16,0,4
Random DeepQ,5,17,0,3
Random DeepQ,5,18,0,3
Random DeepQ,5,19,1,4
Random DeepQ,5,20,0,4
Random DeepQ,5,21,0,4
Random DeepQ,5,22,0,4
Random DeepQ,5,23,1,5
Random DeepQ,5,24,0,2
Random DeepQ,5,25,1,4
Random DeepQ,5,26,0,4
Random DeepQ,5,27,0,5
Random DeepQ,5,28,0,5
Random DeepQ,5,29,1,4
Random DeepQ,5,30,0,5
Random DeepQ,5,31,0,5
Random DeepQ,5,32,1,4
Random DeepQ,5,33,0,4
Random DeepQ,5,34,0,2
Random DeepQ,5,35,0,4
Random DeepQ,5,36,0,4
Random DeepQ,5,37,0,5
Random DeepQ,5,38,0,3
Random DeepQ,5,39,0,3
Random DeepQ,5,40,0,3
Random DeepQ,5,41,1,3
Random DeepQ,5,42,0,3
Random DeepQ,5,43,0,3
Random DeepQ,5,44,0,3
Random DeepQ,5,45,1,5
Random DeepQ,5,46,0,4
Random DeepQ,5,47,1,4
Random DeepQ,5,48,0,4
Random DeepQ,5,49,1,4
Random DeepQ,5,50,0,2
Random DeepQ,5,51,1,5
Random DeepQ,5,52,0,2
Random DeepQ,5,53,0,5
Random DeepQ,5,54,0,4
Random DeepQ,5,55,0,5
Random DeepQ,5,56,1,4
Random DeepQ,5,57,1,4
Random DeepQ,5,58,0,4
Random DeepQ,5,59,1,3
Random DeepQ,5,60,0,4
Random DeepQ,5,61,0,5
Random DeepQ,5,62,0,4
Random DeepQ,5,63,1,5
Random DeepQ,5,64,0,4
Random DeepQ,5,65,1,3
Random DeepQ,5,66,0,3
Random DeepQ,5,67,0,5
Random DeepQ,5,68,0,3
Random DeepQ,5,69,1,4
Random DeepQ,5,70,0,4
Random DeepQ,5,71,1,4
Random DeepQ,5,72,0,4
Random DeepQ,5,73,1,4
Random DeepQ,5,74,0,3
Random DeepQ,5,75,0,3
Random DeepQ,5,76,0,3
Random DeepQ,5,77,0,4
Random DeepQ,5,78,0,3
Random DeepQ,5,79,0,4
Random DeepQ,5,80,0,4
Random DeepQ,5,81,0,5
Random DeepQ,5,82,0,5
Random DeepQ,5,83,0,4
Random DeepQ,5,84,0,5
Random DeepQ,5,85,1,5
Random DeepQ,5,86,0,5
Random DeepQ,5,87,1,5
Random DeepQ,5,88,0,4
Random DeepQ,5,89,0,4
Random DeepQ,5,90,0,3
Random DeepQ,5,91,0,5
Random DeepQ,5,92,0,5
Random DeepQ,5,93,1,4
Random DeepQ,5,94,0,4
Random DeepQ,5,95,0,5
Random DeepQ,5,96,0,5
Random DeepQ,5,97,0,4
Random DeepQ,5,98,0,4
Random DeepQ,5,99,0,5
Random DeepQ,5,100,0,3
Random DeepQ,6,1,1,5
Random DeepQ,6,2,0,4
Random DeepQ,6,3,1,5
Random DeepQ,6,4,0,4
Random DeepQ,6,5,0,5
Random DeepQ,6,6,0,4
Random DeepQ,6,7,0,5
Random DeepQ,6,8,0,2
Random DeepQ,6,9,0,4
Random DeepQ,6,10,0,3
Random DeepQ,6,11,1,4
Random DeepQ,6,12,0,4
Random DeepQ,6,13,0,3
Random DeepQ,6,14,0,2
Random DeepQ,6,15,1,5
Random DeepQ,6,16,0,3
Random DeepQ,6,17,1,4
Random DeepQ,6,18,0,2
Random DeepQ,6,19,0,4
Random DeepQ,6,20,0,4
Random DeepQ,6,21,1,4
Random DeepQ,6,22,1,4
Random DeepQ,6,23,1,5
Random DeepQ,6,24,0,3
Random DeepQ,6,25,0,3
Random DeepQ,6,26,0,5
Random DeepQ,6,27,1,5
Random DeepQ,6,28,1,3
Random DeepQ,6,29,0,3
Random DeepQ,6,30,0,5
Random DeepQ,6,31,1,5
Random DeepQ,6,32,0,4
Random DeepQ,6,33,1,4
Random DeepQ,6,34,0,5
Random DeepQ,6,35,1,4
Random DeepQ,6,36,0,4
Random DeepQ,6,37,1,5
Random DeepQ,6,38,1,4
Random DeepQ,6,39,1,4
Random DeepQ,6,40,1,5
Random DeepQ,6,41,1,5
Random DeepQ,6,42,0,3
Random DeepQ,6,43,1,4
Random DeepQ,6,44,0,3
Random DeepQ,6,45,1,4
Random DeepQ,6,46,1,4
Random DeepQ,6,47,0,4
Random DeepQ,6,48,0,3
Random DeepQ,6,49,0,5
Random DeepQ,6,50,0,4
Random DeepQ,6,51,1,3
Random DeepQ,6,52,0,4
Random DeepQ,6,53,1,4
Random DeepQ,6,54,0,3
Random DeepQ,6,55,1,4
Random DeepQ,6,56,0,3
Random DeepQ,6,57,0,5
Random DeepQ,6,58,0,5
Random DeepQ,6,59,0,5
Random DeepQ,6,60,0,3
Random DeepQ,6,61,1,5
Random DeepQ,6,62,0,2
Random DeepQ,6,63,0,5
Random DeepQ,6,64,0,3
Random DeepQ,6,65,1,5
Random DeepQ,6,66,0,4
Random DeepQ,6,67,0,5
Random DeepQ,6,68,0,4
Random DeepQ,6,69,0,4
Random DeepQ,6,70,1,4
Random DeepQ,6,71,1,5
Random DeepQ,6,72,1,4
Random DeepQ,6,73,1,4
Random DeepQ,6,74,0,4
Random DeepQ,6,75,1,5
Random DeepQ,6,76,0,3
Random DeepQ,6,77,0,5
Random DeepQ,6,78,0,4
Random DeepQ,6,79,1,4
Random DeepQ,6,80,0,4
Random DeepQ,6,81,1,4
Random DeepQ,6,82,0,5
Random DeepQ,6,83,1,3
Random DeepQ,6,84,0,3
Random DeepQ,6,85,1,5
Random DeepQ,6,86,0,2
Random DeepQ,6,87,0,3
Random DeepQ,6,88,0,4
Random DeepQ,6,89,1,5
Random DeepQ,6,90,0,2
Random DeepQ,6,91,0,4
Random DeepQ,6,92,0,3
Random DeepQ,6,93,1,4
Random DeepQ,6,94,0,4
Random DeepQ,6,95,1,4
Random DeepQ,6,96,1,3
Random DeepQ,6,97,0,4
Random DeepQ,6,98,0,3
Random DeepQ,6,99,0,4
Random DeepQ,6,100,0,4
Random DeepQ,7,1,1,5
Random DeepQ,7,2,1,4
Random DeepQ,7,3,1,4
Random DeepQ,7,4,0,4
Random DeepQ,7,5,1,4
Random DeepQ,7,6,0,4
Random DeepQ,7,7,0,5
Random DeepQ,7,8,0,4
Random DeepQ,7,9,0,4
Random DeepQ,7,10,0,4
Random DeepQ,7,11,0,5
Random DeepQ,7,12,0,4
Random DeepQ,7,13,0,4
Random DeepQ,7,14,0,3
Random DeepQ,7,15,1,5
Random DeepQ,7,16,0,3
Random DeepQ,7,17,0,4
Random DeepQ,7,18,0,4
Random DeepQ,7,19,0,5
Random DeepQ,7,20,0,3
Random DeepQ,7,21,1,4
Random DeepQ,7,22,0,3
Random DeepQ,7,23,0,5
Random DeepQ,7,24,0,3
Random DeepQ,7,25,0,4
Random DeepQ,7,26,1,4
Random DeepQ,7,27,0,3
Random DeepQ,7,28,0,4
Random DeepQ,7,29,1,5
Random DeepQ,7,30,1,4
Random DeepQ,7,31,1,5
Random DeepQ,7,32,0,4
Random DeepQ,7,33,1,5
Random DeepQ,7,34,0,4
Random DeepQ,7,35,0,4
Random DeepQ,7,36,0,4
Random DeepQ,7,37,0,5
Random DeepQ,7,38,1,3
Random DeepQ,7,39,1,5
Random DeepQ,7,40,0,5
Random DeepQ,7,41,0,4
Random DeepQ,7,42,0,4
Random DeepQ,7,43,0,4
Random DeepQ,7,44,0,3
Random DeepQ,7,45,1,4
Random DeepQ,7,46,0,4
Random DeepQ,7,47,1,4
Random DeepQ,7,48,0,3
Random DeepQ,7,49,1,4
Random DeepQ,7,50,0,3
Random DeepQ,7,51,1,5
Random DeepQ,7,52,0,4
Random DeepQ,7,53,0,3
Random DeepQ,7,54,1,4
Random DeepQ,7,55,1,4
Random DeepQ,7,56,1,4
Random DeepQ,7,57,1,4
Random DeepQ,7,58,0,4
Random DeepQ,7,59,1,4
Random DeepQ,7,60,0,4
Random DeepQ,7,61,1,5
Random DeepQ,7,62,0,5
Random DeepQ,7,63,1,4
Random DeepQ,7,64,0,4
Random DeepQ,7,65,0,3
Random DeepQ,7,66,1,4
Random DeepQ,7,67,1,3
Random DeepQ,7,68,0,2
Random DeepQ,7,69,1,4
Random DeepQ,7,70,1,4
Random DeepQ,7,71,0,3
Random DeepQ,7,72,0,4
Random DeepQ,7,73,1,4
Random DeepQ,7,74,0,4
Random DeepQ,7,75,1,5
Random DeepQ,7,76,0,3
Random DeepQ,7,77,0,4
Random DeepQ,7,78,0,4
Random DeepQ,7,79,0,4
Random DeepQ,7,80,0,4
Random DeepQ,7,81,0,4
Random DeepQ,7,82,0,4
Random DeepQ,7,83,1,4
Random DeepQ,7,84,0,3
Random DeepQ,7,85,1,5
Random DeepQ,7,86,1,4
Random DeepQ,7,87,1,4
Random DeepQ,7,88,0,3
Random DeepQ,7,89,0,3
Random DeepQ,7,90,0,4
Random DeepQ,7,91,1,3
Random DeepQ,7,92,1,3
Random DeepQ,7,93,1,4
Random DeepQ,7,94,0,5
Random DeepQ,7,95,0,4
Random DeepQ,7,96,0,3
Random DeepQ,7,97,1,4
Random DeepQ,7,98,0,3
Random DeepQ,7,99,0,3
Random DeepQ,7,100,0,4
Random DeepQ,8,1,1,4
Random DeepQ,8,2,0,4
Random DeepQ,8,3,1,3
Random DeepQ,8,4,0,4
Random DeepQ,8,5,0,4
Random DeepQ,8,6,0,4
Random DeepQ,8,7,0,4
Random DeepQ,8,8,0,4
Random DeepQ,8,9,1,4
Random DeepQ,8,10,0,3
Random DeepQ,8,11,1,4
Random DeepQ,8,12,0,3
Random DeepQ,8,13,0,5
Random DeepQ,8,14,0,2
Random DeepQ,8,15,0,5
Random DeepQ,8,16,0,3
Random DeepQ,8,17,0,4
Random DeepQ,8,18,0,3
Random DeepQ,8,19,0,4
Random DeepQ,8,20,0,5
Random DeepQ,8,21,0,5
Random DeepQ,8,22,1,4
Random DeepQ,8,23,1,4
Random DeepQ,8,24,0,2
Random DeepQ,8,25,0,3
Random DeepQ,8,26,0,3
Random DeepQ,8,27,0,4
Random DeepQ,8,28,0,3
Random DeepQ,8,29,1,4
Random DeepQ,8,30,0,3
Random DeepQ,8,31,0,3
Random DeepQ,8,32,0,3
Random DeepQ,8,33,0,5
Random DeepQ,8,34,0,3
Random DeepQ,8,35,1,3
Random DeepQ,8,36,0,4
Random DeepQ,8,37,1,4
Random DeepQ,8,38,0,3
Random DeepQ,8,39,1,4
Random DeepQ,8,40,0,4
Random DeepQ,8,41,1,5
Random DeepQ,8,42,0,3
Random DeepQ,8,43,0,4
Random DeepQ,8,44,0,3
Random DeepQ,8,45,1,4
Random DeepQ,8,46,0,2
Random DeepQ,8,47,0,4
Random DeepQ,8,48,0,3
Random DeepQ,8,49,0,4
Random DeepQ,8,50,0,5
Random DeepQ,8,51,1,5
Random DeepQ,8,52,0,5
Random DeepQ,8,53,0,5
Random DeepQ,8,54,0,4
Random DeepQ,8,55,1,5
Random DeepQ,8,56,0,4
Random DeepQ,8,57,1,5
Random DeepQ,8,58,0,3
Random DeepQ,8,59,0,5
Random DeepQ,8,60,0,4
Random DeepQ,8,61,1,4
Random DeepQ,8,62,0,3
Random DeepQ,8,63,1,4
Random DeepQ,8,64,0,4
Random DeepQ,8,65,0,5
Random DeepQ,8,66,1,4
Random DeepQ,8,67,1,4
Random DeepQ,8,68,0,4
Random DeepQ,8,69,1,5
Random DeepQ,8,70,0,4
Random DeepQ,8,71,1,4
Random DeepQ,8,72,0,2
Random DeepQ,8,73,0,4
Random DeepQ,8,74,0,4
Random DeepQ,8,75,1,5
Random DeepQ,8,76,0,3
Random DeepQ,8,77,1,5
Random DeepQ,8,78,0,4
Random DeepQ,8,79,0,4
Random DeepQ,8,80,0,2
Random DeepQ,8,81,1,4
Random DeepQ,8,82,0,3
Random DeepQ,8,83,0,5
Random DeepQ,8,84,0,4
Random DeepQ,8,85,1,4
Random DeepQ,8,86,0,2
Random DeepQ,8,87,1,4
Random DeepQ,8,88,0,5
Random DeepQ,8,89,1,3
Random DeepQ,8,90,0,4
Random DeepQ,8,91,0,4
Random DeepQ,8,92,0,3
Random DeepQ,8,93,1,4
Random DeepQ,8,94,0,5
Random DeepQ,8,95,1,5
Random DeepQ,8,96,1,4
Random DeepQ,8,97,0,5
Random DeepQ,8,98,0,2
Random DeepQ,8,99,1,4
Random DeepQ,8,100,1,4
Random DeepQ,9,1,0,5
Random DeepQ,9,2,0,4
Random DeepQ,9,3,1,5
Random DeepQ,9,4,0,5
Random DeepQ,9,5,0,4
Random DeepQ,9,6,0,2
Random DeepQ,9,7,0,5
Random DeepQ,9,8,0,4
Random DeepQ,9,9,1,4
Random DeepQ,9,10,1,4
Random DeepQ,9,11,1,4
Random DeepQ,9,12,0,5
Random DeepQ,9,13,0,3
Random DeepQ,9,14,0,4
Random DeepQ,9,15,1,3
Random DeepQ,9,16,0,2
Random DeepQ,9,17,1,4
Random DeepQ,9,18,0,4
Random DeepQ,9,19,0,5
Random DeepQ,9,20,0,4
Random DeepQ,9,21,1,5
Random DeepQ,9,22,0,3
Random DeepQ,9,23,0,4
Random DeepQ,9,24,1,5
Random DeepQ,9,25,1,5
Random DeepQ,9,26,0,4
Random DeepQ,9,27,1,4
Random DeepQ,9,28,0,4
Random DeepQ,9,29,0,5
Random DeepQ,9,30,1,5
Random DeepQ,9,31,1,4
Random DeepQ,9,32,0,5
Random DeepQ,9,33,1,4
Random DeepQ,9,34,0,5
Random DeepQ,9,35,1,5
Random DeepQ,9,36,0,3
Random DeepQ,9,37,1,4
Random DeepQ,9,38,0,4
Random DeepQ,9,39,1,5
Random DeepQ,9,40,1,4
Random DeepQ,9,41,1,4
Random DeepQ,9,42,0,4
Random DeepQ,9,43,0,5
Random DeepQ,9,44,0,3
Random DeepQ,9,45,1,3
Random DeepQ,9,46,0,3
Random DeepQ,9,47,1,5
Random DeepQ,9,48,0,3
Random DeepQ,9,49,0,5
Random DeepQ,9,50,0,4
Random DeepQ,9,51,0,4
Random DeepQ,9,52,0,3
Random DeepQ,9,53,0,4
