Epoch,Episodio,Paso,StateIdx,Accion,NextStateIdx,Reward,Done,Epsilon
1,10,1,0,6,36573059467368785817,0.0,False,0.998271
1,10,2,36573059467368785817,5,48741843047558825664,0.0,False,0.998252
1,10,3,48741843047558825664,0,48741871008082937283,0.0,False,0.998233
1,10,4,48741871008082937283,4,52827780524501246688,0.0,False,0.998214
1,10,5,52827780524501246688,2,53278079681587214025,0.0,False,0.998195
1,10,6,53278079681587214025,5,53278491465013664790,0.0,False,0.998176
1,10,7,53278491465013664790,0,53278491663760375647,0.0,False,0.998157
1,10,8,53278491663760375647,3,54629343381433367736,1.0,True,0.998138
1,11,1,0,1,2851798070642983299,0.0,False,0.998119
1,11,2,2851798070642983299,0,27217160533855840608,0.0,False,0.9981
1,11,3,27217160533855840608,5,28123287406204390857,0.0,False,0.998081
1,11,4,28123287406204390857,4,105121835313564939930,0.0,False,0.998062
1,11,5,105121835313564939930,1,105125609984320008495,0.0,False,0.998043
1,11,6,105125609984320008495,0,105158987224511796594,0.0,False,0.998024
1,11,7,105158987224511796594,5,105159401548641814221,0.0,False,0.998005
1,11,8,105159401548641814221,6,105159409176563822142,0.0,False,0.997986
1,11,9,105159409176563822142,4,105159410024627272563,0.0,False,0.997967
1,11,10,105159410024627272563,1,105159410056037029986,0.0,False,0.997948
1,11,11,105159410056037029986,2,105159410157153777615,0.0,False,0.997929
1,11,12,105159410157153777615,1,105159410157154138470,0.0,False,0.99791
1,11,13,105159410157154138470,6,105159410157155732955,0.0,False,0.997891
1,11,14,105159410157155732955,0,105159410167617149040,0.0,False,0.997872
1,11,15,105159410167617149040,2,105160645514452763655,0.0,False,0.997853
1,11,16,105160645514452763655,0,105160645514457546624,1.0,True,0.997834
1,12,1,0,0,950599356880994433,0.0,False,0.997815
1,12,2,950599356880994433,6,37456950097451113974,0.0,False,0.997796
1,12,3,37456950097451113974,2,37757345259177206865,0.0,False,0.997777
1,12,4,37757345259177206865,0,37757505396724391592,0.0,False,0.997758
1,12,5,37757505396724391592,4,41810060570664074265,0.0,False,0.997739
1,12,6,41810060570664074265,0,66125391488782714836,0.0,False,0.99772
1,12,7,66125391488782714836,3,67476258457650676899,0.0,False,0.997701
1,12,8,67476258457650676899,0,67476258464624247888,0.0,False,0.997682
1,12,9,67476258464624247888,4,67478111484816288375,0.0,True,0.997663
1,13,1,0,1,150231896051728887,0.0,False,0.997644
1,13,2,150231896051728887,5,15009600790454641866,0.0,False,0.997625
1,13,3,15009600790454641866,4,19062156006235737351,0.0,False,0.997606
1,13,4,19062156006235737351,2,19516145952504438396,0.0,False,0.997587
1,13,5,19516145952504438396,6,55989144024252443685,0.0,False,0.997568
1,13,6,55989144024252443685,3,55989761697677425446,0.0,False,0.997549
1,13,7,55989761697677425446,4,56023116061464179073,0.0,False,0.99753
1,13,8,56023116061464179073,5,56028680205762391254,0.0,False,0.997511
1,13,9,56028680205762391254,1,56028680208086920749,0.0,False,0.997492
1,13,10,56028680208086920749,2,56028886664078088360,0.0,False,0.997473
1,13,11,56028886664078088360,5,56028886664078620287,0.0,False,0.997454
1,13,12,56028886664078620287,2,56028886758480079440,0.0,False,0.997435
1,13,13,56028886758480079440,4,56028886758480374685,0.0,False,0.997416
1,13,14,56028886758480374685,0,56078918303579374398,0.0,False,0.997397
1,13,15,56078918303579374398,2,56078918303622421119,1.0,True,0.997378
1,14,1,0,0,950599356880994433,0.0,False,0.997359
1,14,2,950599356880994433,0,9055732539711401928,0.0,False,0.99734
1,14,3,9055732539711401928,4,9357774830494252011,0.0,False,0.997321
1,14,4,9357774830494252011,4,9357912938537591220,0.0,False,0.997302
1,14,5,9357912938537591220,0,9357912949007510361,0.0,False,0.997283
1,14,6,9357912949007510361,5,21526696529197550208,0.0,False,0.997264
1,14,7,21526696529197550208,0,21526696591959671613,0.0,False,0.997245
1,14,8,21526696591959671613,0,21526696591988369428,0.0,True,0.997226
1,15,1,0,6,37373564188952781129,0.0,False,0.997207
1,15,2,37373564188952781129,0,45528706040089733370,0.0,False,0.997188
1,15,3,45528706040089733370,1,45679212457650921789,0.0,False,0.997169
1,15,4,45679212457650921789,5,60538581352053834768,0.0,False,0.99715
1,15,5,60538581352053834768,1,60542356022808903333,0.0,False,0.997131
1,15,6,60542356022808903333,1,60553474175323073988,0.0,False,0.997112
1,15,7,60553474175323073988,4,60553475023386524409,0.0,False,0.997093
1,15,8,60553475023386524409,3,60554092696811506170,0.0,False,0.997074
1,15,9,60554092696811506170,6,60570770443370245701,0.0,False,0.997055
1,15,10,60570770443370245701,6,60570778069226011014,0.0,False,0.997036
1,15,11,60570778069226011014,1,60570823822810927497,0.0,False,0.997017
1,15,12,60570823822810927497,0,60570828917002937358,0.0,False,0.996998
1,15,13,60570828917002937358,3,60570829105289354061,0.0,False,0.996979
1,15,14,60570829105289354061,3,60570829105289708382,0.0,False,0.99696
1,15,15,60570829105289708382,4,60570829105299274401,0.0,False,0.996941
1,15,16,60570829105299274401,0,60570829105299276590,0.0,False,0.996922
1,15,17,60570829105299276590,6,60570829108786060991,1.0,True,0.996903
1,16,1,0,5,13058233270838923527,0.0,False,0.996884
1,16,2,13058233270838923527,6,49564584011409043068,0.0,False,0.996865
1,16,3,49564584011409043068,0,49914804827102041017,0.0,False,0.996846
1,16,4,49914804827102041017,1,49914873520241525118,0.0,False,0.996827
1,16,5,49914873520241525118,4,56669132108606485563,0.0,False,0.996808
1,16,6,56669132108606485563,1,56670367455413402364,0.0,False,0.996789
1,16,7,56670367455413402364,1,56670779237677598223,0.0,False,0.99677
1,16,8,56670779237677598223,3,56670779520107134710,0.0,False,0.996751
1,16,9,56670779520107134710,0,56674508437277293353,0.0,False,0.996732
1,16,10,56674508437277293353,5,56680067518764555282,0.0,False,0.996713
1,16,11,56680067518764555282,0,56680082769964308225,0.0,False,0.996694
1,16,12,56680082769964308225,5,56680085311830140928,0.0,False,0.996675
1,16,13,56680085311830140928,0,56680085312088421255,0.0,False,0.996656
1,16,14,56680085312088421255,3,56680085314413003238,0.0,False,0.996637
1,16,15,56680085314413003238,5,56680085314413535165,0.0,False,0.996618
1,16,16,56680085314413535165,3,56680087008990754078,0.0,True,0.996599
1,17,1,0,0,350220815692997949,0.0,False,0.99658
1,17,2,350220815692997949,3,1701118286950899960,0.0,False,0.996561
1,17,3,1701118286950899960,3,2602303772129178633,0.0,False,0.996542
1,17,4,2602303772129178633,6,39108654512699298174,0.0,False,0.996523
1,17,5,39108654512699298174,3,39109066577393023953,0.0,False,0.996504
1,17,6,39109066577393023953,3,39109066577522164116,1.0,True,0.996485
1,18,1,0,5,12168783580190039847,0.0,False,0.996466
1,18,2,12168783580190039847,6,56746890263398778784,0.0,False,0.996447
1,18,3,56746890263398778784,5,56746892807589130047,0.0,False,0.996428
1,18,4,56746892807589130047,3,58397933795856120378,0.0,False,0.996409
1,18,5,58397933795856120378,1,59298570238015479987,0.0,False,0.99639
1,18,6,59298570238015479987,1,59398633359594539010,0.0,False,0.996371
1,18,7,59398633359594539010,4,59400486379784453733,0.0,False,0.996352
1,18,8,59400486379784453733,4,59400532980657973098,0.0,False,0.996333
1,18,9,59400532980657973098,5,59400944762922162639,0.0,False,0.996314
1,18,10,59400944762922162639,0,59400944773392081780,0.0,False,0.996295
1,18,11,59400944773392081780,4,59402180120572070163,0.0,False,0.996276
1,18,12,59402180120572070163,4,59402180120572247310,1.0,True,0.996257
1,19,1,0,6,44578106683208738937,0.0,False,0.996238
1,19,2,44578106683208738937,1,44828264408703737472,0.0,False,0.996219
1,19,3,44828264408703737472,4,44830163182477499235,0.0,False,0.9962
1,19,4,44830163182477499235,6,44846977624931895570,0.0,False,0.996181
1,19,5,44846977624931895570,0,44846979329969467659,0.0,False,0.996162
1,19,6,44846979329969467659,0,69162310248088108230,0.0,False,0.996143
1,19,7,69162310248088108230,6,69162317936447712435,0.0,False,0.996124
1,19,8,69162317936447712435,3,70513169654120708898,0.0,False,0.996105
1,19,9,70513169654120708898,4,70513169654536827201,0.0,False,0.996086
1,19,10,70513169654536827201,4,70513169654537004510,0.0,False,0.996067
1,19,11,70513169654537004510,0,70513169661510573313,0.0,False,0.996048
1,19,12,70513169661510573313,1,70524287782643690920,0.0,False,0.996029
1,19,13,70524287782643690920,6,70524287782645286701,0.0,False,0.99601
1,19,14,70524287782645286701,3,70524906020900643610,0.0,False,0.995991
1,19,15,70524906020900643610,2,70975189927049921299,0.0,False,0.995972
1,19,16,70975189927049921299,2,70975395818182134046,0.0,False,0.995953
1,19,17,70975395818182134046,5,70975398548334320029,0.0,True,0.995934
1,20,1,0,5,12168783580190039847,0.0,False,0.995915
1,20,2,12168783580190039847,2,15320770921427021388,0.0,False,0.995896
1,20,3,15320770921427021388,2,88266969566900688843,0.0,False,0.995877
1,20,4,88266969566900688843,0,88317046865584598472,0.0,False,0.995858
1,20,5,88317046865584598472,3,96422774845018834953,0.0,False,0.995839
1,20,6,96422774845018834953,4,96424627886128393200,0.0,False,0.99582
1,20,7,96424627886128393200,0,96424629580710395055,0.0,False,0.995801
1,20,8,96424629580710395055,1,96574724216782235154,0.0,False,0.995782
1,20,9,96574724216782235154,2,96574861571680143747,0.0,False,0.995763
1,20,10,96574861571680143747,2,96574861571723190468,1.0,True,0.995744
1,21,1,0,0,350220815692997949,0.0,False,0.995725
1,21,2,350220815692997949,2,800916503848184610,0.0,False,0.995706
1,21,3,800916503848184610,1,3502688569571533671,0.0,False,0.995687
1,21,4,3502688569571533671,6,48080795252780272608,0.0,False,0.995668
1,21,5,48080795252780272608,5,60238460900123559063,0.0,False,0.995649
1,21,6,60238460900123559063,4,60273668283711744042,0.0,False,0.99563
1,21,7,60273668283711744042,5,60279229038855518451,0.0,False,0.995611
1,21,8,60279229038855518451,0,60279256999379630070,0.0,False,0.995592
1,21,9,60279256999379630070,6,60279264625751956035,0.0,False,0.995573
1,21,10,60279264625751956035,2,60279264628119525690,0.0,False,0.995554
1,21,11,60279264628119525690,0,60279264701341998111,0.0,False,0.995535
1,21,12,60279264701341998111,2,60279264701351583732,0.0,True,0.995516
1,22,1,0,0,24365362463212857309,0.0,False,0.995497
1,22,2,24365362463212857309,4,28718106886825831818,0.0,False,0.995478
1,22,3,28718106886825831818,2,29168802574981018479,0.0,False,0.995459
1,22,4,29168802574981018479,4,29170792855924600086,0.0,False,0.99544
1,22,5,29170792855924600086,5,29176352104777513263,0.0,False,0.995421
1,22,6,29176352104777513263,1,29176357219890229530,0.0,False,0.995402
1,22,7,29176357219890229530,5,102122349975394063803,0.0,False,0.995383
1,22,8,102122349975394063803,2,102122351670014329410,0.0,False,0.995364
1,22,9,102122351670014329410,3,103473203387687360865,0.0,False,0.995345
1,22,10,103473203387687360865,6,103489926322971937356,0.0,False,0.995326
1,22,11,103489926322971937356,0,103489926333433353441,0.0,False,0.995307
1,22,12,103489926333433353441,3,103490544006829637388,1.0,True,0.995288
1,23,1,0,6,37373564188952781129,0.0,False,0.995269
1,23,2,37373564188952781129,0,37423641487636690758,0.0,False,0.99525
1,23,3,37423641487636690758,2,37457201742168118545,0.0,False,0.995231
1,23,4,37457201742168118545,1,61922627295578975268,0.0,False,0.995212
1,23,5,61922627295578975268,2,61922764650476883861,0.0,False,0.995193
1,23,6,61922764650476883861,5,64630027146389423562,0.0,False,0.995174
1,23,7,64630027146389423562,4,68682587383140056487,0.0,False,0.995155
1,23,8,68682587383140056487,3,68686911096914044116,0.0,False,0.995136
1,23,9,68686911096914044116,0,68686911107383963257,0.0,False,0.995117
1,23,10,68686911107383963257,0,68686911109708488378,0.0,False,0.995098
1,23,11,68686911109708488378,1,68686912835666766873,0.0,False,0.995079
1,23,12,68686912835666766873,0,68686913400525839836,0.0,False,0.9950600000000001
1,23,13,68686913400525839836,5,68686913400526371763,0.0,False,0.995041
1,23,14,68686913400526371763,2,68686913401344259462,0.0,False,0.995022
1,23,15,68686913401344259462,2,68686913401344279145,1.0,True,0.995003
1,24,1,0,0,950599356880994433,0.0,False,0.994984
1,24,2,950599356880994433,2,73896798002354661888,0.0,False,0.994965
1,24,3,73896798002354661888,6,73913520937639238379,0.0,False,0.994946
1,24,4,73913520937639238379,2,74213710302376415448,0.0,False,0.994927
1,24,5,74213710302376415448,5,86371513022188074015,0.0,False,0.994908
1,24,6,86371513022188074015,5,86377072103675335944,0.0,False,0.994889
1,24,7,86377072103675335944,2,86377087354913352639,0.0,False,0.99487
1,24,8,86377087354913352639,4,90429642514905897708,0.0,False,0.994851
1,24,9,90429642514905897708,3,91784200272956593479,0.0,False,0.994832
1,24,10,91784200272956593479,5,91784202877584541026,0.0,False,0.994813
1,24,11,91784202877584541026,1,91784202877602078579,0.0,False,0.994794
1,24,12,91784202877602078579,1,91784202877602086598,0.0,True,0.994775
1,25,1,0,6,36773185647764784645,0.0,False,0.994756
1,25,2,36773185647764784645,3,38224100455635776148,0.0,False,0.994737
1,25,3,38224100455635776148,1,62539500004126998633,0.0,False,0.994718
1,25,4,62539500004126998633,2,63023138273417329134,0.0,False,0.994699
1,25,5,63023138273417329134,3,63023771198008583055,0.0,False,0.99468
1,25,6,63023771198008583055,5,63029330265548707380,0.0,False,0.994661
1,25,7,63029330265548707380,5,63029332807417724355,0.0,True,0.994642
1,26,1,0,1,1050662447078993847,0.0,False,0.994623
